tx	gene_id	N2L	N2S	N3L	N3S	N4L	N4S	NE3L	NE3S	NE4L	NE4S	NE5L	NE5S	NW3L	NW3S	NW4L	NW4S	NW5L	NW5S	W3L	W3S	W4S	W5L	W5S
rna-XM_043156011.1	gene-E1B28_011022	6.962579	4.862766	11.168003	3.333892	8.716094	3.054992	10.902141	3.059893	12.291118	2.626611	14.528016	5.047372	11.003407	1.119474	11.63245	2.197664	14.561126	2.068568	14.199804	3.983389	9.066693	10.195913	1.910002
rna-XM_043156012.1	gene-E1B28_011023	4.735635	1.758163	3.131917	1.485672	6.364947	0.91889	4.278959	1.569865	4.405242	2.264824	6.09596	2.135688	4.045308	1.770996	4.48178	1.580565	3.501303	3.737922	3.407556	2.49287	2.602348	6.154053	2.420841
rna-XM_043156013.1	gene-E1B28_011024	6.395032	3.156901	4.940556	2.514022	5.158733	2.206731	4.17218	2.452872	2.927546	4.258199	2.910886	3.228883	4.437535	1.500547	3.006325	2.044969	4.542626	0.639689	2.707092	1.656286	2.448774	2.812125	2.889543
rna-XM_043156014.1	gene-E1B28_011025	11.394579	2.797896	7.034145	3.95246	11.502302	2.363145	7.761448	8.642757	10.790718	6.188419	1.326467	3.684017	7.174186	5.258592	8.500915	4.491592	5.384348	2.552582	4.559029	4.898151	0	6.109861	4.693762
rna-XM_043156015.1	gene-E1B28_011026	10.89884	3.268385	0	0	5.524634	0	0	5.457812	9.85916	6.563233	7.283141	7.178163	7.876845	0	6.199112	0	0	5.848146	0	0	9.001734	0	4.786815
rna-XM_043156016.1	gene-E1B28_011026	5.022792	4.964215	15.231975	7.356369	11.062992	8.537719	15.692806	0	4.650962	0.909106	10.082103	0	4.729137	7.45925	6.494174	7.838097	13.056742	0.76169	15.278419	8.301077	0	14.17284	0
rna-XM_043156017.1	gene-E1B28_011026	0.743441	0	0.280614	0.936822	0.126017	0	0.275265	0.153384	0	0	0	0.226251	0.165439	0	0.491137	0	0.17851	0	0.406758	0	0	0.129027	0
rna-XM_043156018.1	gene-E1B28_011027	56.323602	74.339814	35.377966	44.046716	40.912934	50.552098	33.330827	76.085061	46.044639	41.000127	37.120063	37.294789	40.98132	70.850795	44.275728	80.303951	44.911678	48.033264	36.599656	51.375328	45.592836	43.321724	37.590055
rna-XM_043156019.1	gene-E1B28_011028	64.54811	60.300942	51.38592	54.875641	49.862151	63.518358	50.819606	70.964611	59.54956	53.129097	58.576461	47.243304	43.504704	74.620892	51.623841	73.669357	45.523441	57.404315	49.155749	41.263342	39.106574	53.000507	54.039062
rna-XM_043156020.1	gene-E1B28_011028	4.483246	18.969446	2.716836	11.842948	4.678544	15.431	8.085137	43.49635	3.689718	16.059686	8.791405	14.244288	5.316321	16.975669	4.792885	32.319017	2.699993	32.011331	7.161736	12.552531	24.935332	2.437796	3.087999
rna-XM_043156021.1	gene-E1B28_011029	33.65329	45.300887	30.428286	50.567898	34.306558	52.342776	29.414509	53.489035	31.830408	56.480441	40.825976	67.271836	27.345024	59.68443	31.054663	51.13179	36.04646	52.797025	33.170801	78.520318	74.328487	30.713405	60.728235
rna-XM_043156022.1	gene-E1B28_011030	0	2.059206	1.476541	1.949457	1.543825	0	0.330109	4.333351	3.697308	2.703309	0.510591	4.058365	0.790617	4.410851	1.304851	3.409854	2.104865	3.41959	0.29103	5.101085	0	2.063585	3.121883
rna-XM_043156023.1	gene-E1B28_011030	5.521747	8.574955	6.850739	7.307805	3.928621	8.079338	5.68913	7.906033	2.689168	8.710195	5.063842	6.216272	4.295373	4.448269	5.152752	7.182532	4.372906	7.716365	5.598305	5.902347	7.686686	4.965061	5.925444
rna-XM_043156024.1	gene-E1B28_011030	2.774223	2.067234	0.801206	2.032686	2.48286	3.297169	1.969752	4.828098	0.839333	3.933829	2.131855	1.691531	0.344826	0.75225	1.22791	0.870235	1.268567	2.511165	1.984839	3.648619	9.869331	1.618441	1.44236
rna-XM_043156025.1	gene-E1B28_011031	9.110075	5.947156	8.943957	7.024	8.741855	3.76948	7.362975	4.243519	8.462619	4.964799	9.764496	4.517919	6.638997	3.517082	7.635747	4.173344	5.043922	5.88495	7.89516	2.150565	11.414685	6.992481	3.838362
rna-XM_043156026.1	gene-E1B28_011032	31.225045	15.301695	22.678098	24.656699	22.573322	18.736102	24.849652	13.190541	26.467346	22.110005	26.584993	26.249213	21.954232	17.612438	25.111396	15.709153	21.92134	17.485924	20.54137	11.024725	18.314592	22.065522	13.310639
rna-XM_043156027.1	gene-E1B28_011032	3.10476	9.208879	3.683309	13.25145	3.615018	10.723223	2.540551	6.793296	6.172259	13.751785	2.316524	16.301852	2.425362	5.340696	2.681042	7.967548	3.933309	8.186423	2.969771	7.110986	22.84084	3.827647	4.524214
rna-XM_043156028.1	gene-E1B28_011033	12.085636	51.822345	12.960438	32.6951	13.586848	43.484164	18.017518	55.727644	18.608524	34.97318	19.814905	30.360075	15.997859	73.939961	15.681464	78.339546	12.930247	26.958738	17.641483	21.490397	60.432476	12.775742	20.633687
rna-XM_043156029.1	gene-E1B28_011034	25.805157	13.623813	16.880397	10.306701	17.531956	10.498581	18.345832	10.465862	20.265007	15.681554	17.443899	9.281149	16.63971	12.059037	18.374386	12.984518	13.673557	9.536763	19.069195	7.13867	10.019632	18.330375	9.242145
rna-XM_043156030.1	gene-E1B28_011034	9.755967	9.267326	12.152477	7.778424	11.720552	7.671434	11.324909	4.296121	12.849762	7.604331	17.55216	9.560889	10.733025	3.884103	9.697884	6.586354	11.225204	10.514084	10.539221	10.848204	24.225757	9.381921	4.864907
rna-XM_043156031.1	gene-E1B28_011035	19.991542	14.093921	11.935939	15.12754	12.597983	12.070949	10.944912	10.81668	17.132276	11.030646	15.221018	13.910775	10.825609	11.87875	10.218416	13.819679	8.153437	11.483778	10.875241	4.352022	13.690437	12.683894	13.655667
rna-XM_043156032.1	gene-E1B28_011036	32.724396	14.123032	23.413369	14.133713	27.10718	13.612493	23.238717	12.284713	31.515237	13.632082	29.198428	18.60041	22.26967	15.130362	25.442664	15.836514	19.109423	12.412542	23.781737	19.758032	19.935513	27.849668	11.635485
rna-XM_043156033.1	gene-E1B28_011037	16.631843	62.338348	17.940638	71.311815	21.900016	64.995773	17.534151	60.421297	33.144924	80.088958	25.008806	114.302615	25.3269	88.914988	24.746199	76.720426	34.753192	67.088117	22.483186	101.94447	75.960176	26.099803	106.29909
rna-XM_043156034.1	gene-E1B28_011038	9.22669	3.364765	7.911345	2.495002	7.282427	2.019194	6.337707	4.187122	5.851805	3.954335	5.994788	3.389191	4.232404	2.443092	4.859299	3.521106	4.337359	2.104772	5.741208	6.492754	3.720427	5.026876	2.229885
rna-XM_043156035.1	gene-E1B28_011039	14.488227	50.54508	14.967805	29.184732	15.785622	34.198232	13.897513	43.694445	19.800556	50.147131	18.972497	85.574769	12.064326	24.123029	11.17835	65.518125	15.134041	23.535571	10.281234	151.411524	122.254983	16.372479	16.700341
rna-XM_043156036.1	gene-E1B28_011040	10.629235	10.427798	11.694105	11.000746	11.855003	12.133159	12.34527	5.381501	11.573896	11.59067	12.924638	10.315434	9.359281	5.041134	10.942687	7.143569	11.185334	6.707213	15.883821	18.592593	9.543864	11.464931	9.213428
rna-XM_043156037.1	gene-E1B28_011041	24.592161	36.129602	20.249808	27.147246	20.688044	20.747241	21.366224	31.683627	24.246307	28.613885	31.835755	28.524422	16.819192	30.974656	20.185094	23.71967	19.39078	34.933974	25.426053	30.845163	58.386095	20.236133	17.99535
rna-XM_043156038.1	gene-E1B28_011042	32.216872	24.552909	23.788506	20.287735	24.738556	25.906092	30.868785	32.546269	25.869372	26.662504	22.014356	22.741163	28.571867	17.019014	27.104505	24.371411	27.418038	37.574827	28.968709	23.52276	13.787709	31.672783	14.419856
rna-XM_043156039.1	gene-E1B28_011043	30.844442	27.633352	35.323916	29.035556	38.775998	31.866199	38.709587	31.770081	32.560945	37.530344	35.147163	32.900994	35.049179	22.919075	36.015987	33.891997	37.785558	28.473265	42.804912	26.670496	38.514899	37.414232	29.572696
rna-XM_043156040.1	gene-E1B28_011044	3.33858	5.788074	3.338779	7.658675	4.195529	8.349545	3.198431	6.44328	4.650279	9.009723	3.75713	8.686859	3.912359	9.754886	4.640015	7.091305	2.758903	10.405799	5.301516	5.976836	12.025387	4.431611	4.195695
rna-XM_043156041.1	gene-E1B28_011045	1.018335	6.274922	3.304586	6.865696	3.754839	4.975734	3.347607	7.920041	5.269465	10.514425	5.195187	6.266554	3.892577	4.453534	3.055089	6.847833	4.178769	6.302725	5.455506	1.759651	0	2.630785	5.131622
rna-XM_043156042.1	gene-E1B28_011046	17.469622	170.905349	10.249284	189.540473	14.0722	188.25823	17.518839	291.406388	14.623714	142.582657	17.989108	123.335705	21.623855	193.662418	16.913649	172.996424	11.319804	285.516304	10.28275	36.672158	68.099179	10.571363	100.781028
rna-XM_043156043.1	gene-E1B28_011047	10.062341	17.103682	6.823146	9.340147	11.532824	10.757619	7.184108	29.627847	9.901179	13.977743	12.162808	15.594235	3.74105	14.352098	9.408833	18.517662	6.801306	17.463687	9.294336	12.66484	14.167103	8.617296	9.561525
rna-XM_043156044.1	gene-E1B28_011048	126.196079	151.611537	126.037052	112.769447	128.940396	115.062624	127.962393	105.723894	134.704303	118.863585	160.949139	115.477115	117.08603	123.848294	128.59749	143.350074	124.023325	107.917169	129.485341	80.962688	101.826566	143.092129	110.857898
rna-XM_043156045.1	gene-E1B28_011049	64.886672	156.158652	70.307285	204.413349	79.293898	228.754993	52.847738	131.224616	148.365318	152.240985	124.188065	276.204356	51.161424	131.609507	83.929366	163.996245	74.516056	128.919914	49.318611	151.543515	210.739374	96.942779	185.61052
rna-XM_043156046.1	gene-E1B28_011050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna-XM_043156047.1	gene-E1B28_011051	14.631917	13.473206	11.006836	7.785235	13.756969	10.57101	13.00199	13.7342	13.854145	11.954504	13.934911	10.599111	11.347064	12.780908	14.365364	12.202193	11.005912	10.035083	12.268481	8.783967	15.319533	13.856328	7.592556
rna-XM_043156048.1	gene-E1B28_011052	121.477298	84.018916	151.739216	64.886792	136.083385	69.369788	126.161209	88.602891	107.960227	103.176067	126.48938	110.042934	114.285147	91.701566	126.094813	94.822145	113.754156	80.84416	140.018397	84.749429	102.719385	138.564243	60.394628
rna-XM_043156049.1	gene-E1B28_011053	46.890392	20.314521	41.082956	20.119151	42.066925	20.19233	43.075143	13.231157	35.211614	20.992132	37.485791	20.96877	33.015468	20.43456	46.947973	17.717587	37.801464	14.363351	50.79844	22.01195	15.004064	43.282642	15.478406
rna-XM_043156050.1	gene-E1B28_011054	50.708173	62.13142	45.486421	57.145198	47.226656	59.799123	53.38749	76.165293	55.398953	76.919615	46.229173	59.643887	54.320954	52.546954	51.716227	53.235394	57.131591	85.466422	56.511949	58.699317	82.688591	50.4769	42.22372
rna-XM_043156051.1	gene-E1B28_011055	82.116535	84.28005	72.468082	67.967076	79.370724	67.704736	82.645676	82.269982	86.815315	80.072182	75.235262	57.006698	89.955979	72.451944	75.506547	74.259656	77.90387	88.941486	80.688222	34.243044	55.097719	75.017946	50.873944
rna-XM_043156052.1	gene-E1B28_011056	165.604787	165.749091	205.196977	177.163822	195.834661	187.711002	191.205115	176.375391	181.937907	194.615085	154.351925	136.540918	171.389401	229.632067	179.439468	208.970443	138.64759	219.408702	157.787286	108.333049	90.227825	168.539441	124.563783
rna-XM_043156053.1	gene-E1B28_011057	118.37673	36.969994	107.882938	42.794499	107.534661	42.641315	89.955239	57.074723	113.752817	44.996904	118.603036	51.37776	79.115633	47.362354	102.420188	50.499125	82.501481	50.779465	108.392052	59.074311	52.173493	103.766418	59.935589
rna-XM_043156054.1	gene-E1B28_011058	48.231037	20.778546	53.967224	21.578941	47.10355	18.131035	42.857293	21.81266	44.023664	21.780845	55.985728	21.449201	39.949968	22.603134	45.151904	18.044977	37.105684	21.804952	62.055204	17.441323	39.068936	44.762234	17.604309
rna-XM_043156055.1	gene-E1B28_011059	75.064727	76.60082	72.300796	76.059739	73.986457	68.875929	68.507186	71.911515	61.414313	89.434724	56.830687	82.991271	65.094978	72.005161	67.634787	64.922191	52.791365	69.49072	62.792459	78.22862	77.359579	65.987507	84.124014
rna-XM_043156056.1	gene-E1B28_011060	10.81449	11.44516	10.786262	16.574046	10.552481	12.512924	9.384338	9.562813	8.308176	12.683251	9.342232	13.004085	9.505609	11.426404	8.860489	10.857776	7.305614	9.576772	10.034097	6.341179	7.992559	9.147026	15.914588
rna-XM_043156057.1	gene-E1B28_011061	19.837022	32.568623	30.491806	28.416832	20.987711	59.633274	23.409036	27.184083	24.385867	37.164956	43.725109	28.152382	25.023454	24.027559	27.437256	29.747433	32.307534	44.036589	46.155023	54.262642	30.660816	32.332983	100.899401
rna-XM_043156058.1	gene-E1B28_011062	15.690852	2.007971	9.832459	1.666977	12.220851	2.157636	11.982033	5.492564	14.89987	3.000157	14.431379	2.302495	10.531494	1.771167	12.316313	2.009286	10.362299	2.971355	10.862783	2.829751	3.697238	11.768569	2.397986
rna-XM_043156059.1	gene-E1B28_011063	84.259546	50.094537	114.844128	24.202419	94.516699	70.349348	120.238732	312.567128	106.842675	61.880628	116.094597	29.13601	89.880803	20.984452	93.054062	54.564204	85.415906	104.590879	133.121168	16.051185	15.991436	87.422881	29.623207
rna-XM_043156060.1	gene-E1B28_011064	14.748183	13.237753	12.519058	15.137437	14.327501	13.246692	14.943442	14.477052	14.930205	16.257533	10.411059	9.335343	13.806743	8.813765	13.685477	12.037934	12.253005	23.608679	16.45372	9.461656	6.067859	13.485336	10.823798
rna-XM_043156061.1	gene-E1B28_011065	3.829329	1.834541	3.749224	0.987332	4.156226	0.868825	3.25917	1.599312	4.378826	1.94847	5.071621	1.076392	2.077736	1.053464	2.943947	1.907353	1.977437	1.57398	3.471855	0.968823	0	3.786835	0.486128
rna-XM_043156062.1	gene-E1B28_011066	354.03716	155.24537	218.140212	133.246749	252.95593	114.37544	264.431748	138.465871	219.786722	110.095064	170.490829	79.808446	258.349153	180.538604	277.748416	138.697118	209.899668	115.097043	200.227612	100.552173	67.438352	234.630298	68.977256
rna-XM_043156063.1	gene-E1B28_011067	84.18075	178.94249	154.94671	175.915305	150.431118	183.362098	148.029135	235.4043	132.072464	193.531139	198.758741	189.86531	106.778522	120.422368	131.368648	187.481879	172.595883	269.47519	170.363305	202.000273	268.742558	158.010572	177.456119
rna-XM_043156064.1	gene-E1B28_011068	78.720114	90.316974	71.768728	97.460177	73.345365	100.492851	57.683147	117.509635	69.015911	118.364759	65.769058	121.014951	67.050308	133.814651	69.120223	98.306933	71.69141	84.294168	51.598048	97.201528	70.061425	81.996491	83.845282
rna-XM_043156065.1	gene-E1B28_011069	95.162252	80.074229	97.385177	58.920479	107.436991	56.552847	93.391515	54.619436	88.444835	52.497417	101.709335	49.54907	80.435777	81.543535	95.109247	77.809806	83.905474	61.826909	87.816533	33.462962	30.858595	87.193853	36.233385
rna-XM_043156066.1	gene-E1B28_011070	77.111182	29.587235	49.769717	18.547067	54.517975	22.634635	57.902817	27.097083	56.383993	27.363342	50.900334	28.001546	58.11467	22.222661	65.959018	22.218133	53.815746	23.313393	62.593424	11.092368	13.508754	52.533333	16.52563
rna-XM_043156067.1	gene-E1B28_011071	5.785051	135.196839	7.284321	94.835038	5.917372	113.442008	3.544838	126.695927	6.106076	65.130249	9.859529	47.046902	4.38116	82.961403	5.665342	97.898486	3.820566	122.458404	7.014199	42.518173	18.090702	5.090761	44.432607
rna-XM_043156068.1	gene-E1B28_011072	20.450409	18.69713	15.073502	13.120838	17.161733	10.931825	15.82718	14.774413	19.430779	13.974788	15.805429	12.850839	13.451452	10.154919	17.334717	14.579025	13.283871	12.765923	16.702779	10.20311	15.95711	14.473563	11.42519
rna-XM_043156069.1	gene-E1B28_011073	4.132329	4.16669	4.507676	3.454125	4.153275	3.196229	4.40819	4.178517	3.795635	3.723433	6.241727	2.127618	3.731206	3.327777	4.014678	3.158269	4.736923	5.430615	3.978797	2.365784	3.342551	4.900908	1.525501
rna-XM_043156070.1	gene-E1B28_011074	3.493067	1.158131	3.544332	0.5268	2.86746	1.606472	2.377428	0.97168	4.860119	4.272385	3.115388	2.063031	2.140545	0.503228	2.584647	1.720411	1.148916	2.644378	2.388537	0.542381	4.001538	2.682734	2.031401
rna-XM_043156071.1	gene-E1B28_011075	7.165735	4.449007	6.673799	3.081736	5.272248	3.353344	6.541077	4.268931	6.560419	4.251122	9.122485	4.558322	6.257137	3.310215	6.408509	3.580935	5.513007	3.099615	6.022315	3.675207	0	7.624937	1.765016
rna-XM_043156072.1	gene-E1B28_011076	13.502328	4.24926	10.160969	5.489958	13.068188	5.444926	9.070917	6.470246	9.913806	5.107273	13.293135	5.614676	10.507871	2.815409	12.449697	4.432887	8.11402	4.57514	9.332759	1.320226	0	8.764064	2.991062
