gene_id	gene_name	N2L	N2S	N3L	N3S	N4L	N4S	NE3L	NE3S	NE4L	NE4S	NE5L	NE5S	NW3L	NW3S	NW4L	NW4S	NW5L	NW5S	W3L	W3S	W4S	W5L	W5S
MarorhAT-5	MarorhAT-5	15	17	21	16	10	19	26	16	15	22	23	17	21	14	20	13	14	7	23	3	2	20	4
MarorhAT-6	MarorhAT-6	17	5	21	9	12	7	26	5	7	9	7	9	12	7	12	7	13	7	20	1	1	15	3
MarorhAT-7	MarorhAT-7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
MarorhAT-8	MarorhAT-8	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	1
MarorhAT-9	MarorhAT-9	1	0	1	0	1	2	1	2	0	2	0	0	2	0	2	1	0	0	4	0	0	3	0
MarorHelitron-1	MarorHelitron-1	252.172	954.982	252.871	2456.205	250.595	2410.481	229.396	3137.153	142.763	1862.343	233.044	1103.986	323.128	3385.19	390.593	1947.159	312.202	1894.09	346.334	1706.166	393.306	263.286	766.574
MarorHelitron-2	MarorHelitron-2	123.828	308.018	154.129	605.795	147.405	714.519	160.604	818.847	104.237	567.657	116.956	477.014	225.872	505.81	163.407	562.841	127.798	448.91	181.666	322.834	95.694	162.714	186.426
MarorHelitron-3	MarorHelitron-3	321	105	329	175	255	238	411.957	204	184	153	165	120	311	146	333	171	171	116	434	86	28	268	55
MarorHelitron-4	MarorHelitron-4	7	0	3	1	3	8	6	1	0	0	0	1	4	0	2	6	0	3	3	1	0	1	0
MarorHelitron-5	MarorHelitron-5	71.154	19.628	58.517	47.816	59.173	41.755	94.652	67.629	34.266	47.098	59.276	35.652	79.419	41.156	81.239	36.338	35.772	28.274	54.132	30.379	4.567	80.501	22.89
MarorIS3EU-1	MarorIS3EU-1	24	9	26	104	36	49	11	31	13	21	17	57	9	73	23	31	31	37	19	104	15	35	31
MarorIS3EU-2	MarorIS3EU-2	1567	1255	1449	2415	1350	2740	1525	3853	831	2314	940	2491	2025	2843	1533	2679	1034	1716	1822	2418	429	1173	1036
MarorIS3EU-3	MarorIS3EU-3	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MarorIS3EU-4	MarorIS3EU-4	0	0	1	1	2	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
MarorKyakuja-1	MarorKyakuja-1	492	876	523	1348	449	1783	413	2176	253	1686	254	1085	245	902	380	877	278	746	374	526	220	283	326
MarorKyakuja-2	MarorKyakuja-2	7520	937	3057	1502	4114	1594	3883	1887	2869	1011	2282	805	3935	1802	5335	1684	2524	637	3430	898	214	4002	512
MarorKyakuja-3	MarorKyakuja-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MarorKyakuja-4	MarorKyakuja-4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorKyakuja-5	MarorKyakuja-5	149	119	149	244	110	280	214	264	135	218	149	151	219	71	148	195	95	155	247	59	43	124	54
MarorKyakuja-6	MarorKyakuja-6	1	21	5	31	0	33	4	22	2	46	2	31	0	24	0	33	1	22	0	24	5	2	10
MarorKyakuja-7	MarorKyakuja-7	81	50	76	150	79	177	109	185	74	114	129	106	82	78	67	131	53	89	76	89	31	63	95
MarorLINE-1	MarorLINE-1	105	71	68	143	64	162.092	79	129	61	105.074	56	115	65	108	81	127	50	73	73.065	55	15	88	36
MarorLINE-10	MarorLINE-10	39	116	43	209	44	288	76	167	25	180	34	109	36	222	59	183	21	121	62	104	40	42	79
MarorLINE-11	MarorLINE-11	748	673	538	1560	529	1632.908	498	2333	529	1333.926	466	1126	766	2125	584	1411	371	740	552.935	1225	225	512	415
MarorLINE-2	MarorLINE-2	8	4	8	11	2	9	8	6	0	3	3	3	5	4	12	8	4	7	7	0	0	5	0
MarorLINE-3	MarorLINE-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorLINE-4	MarorLINE-4	16	23	13	40	21	55	29	52	14	32	19	22	35	62	25	62	10	20	29	13	0	13	10
MarorLINE-5	MarorLINE-5	635	424	382	662	415	733	349	915	305	428	288	597	465	1135	524	799	287	320	410	711	100	409	292
MarorLINE-6	MarorLINE-6	2	8	1	11	6	20	4	19	1	13	1	14	2	13	4	12	8	9	6	7	1	0	3
MarorLINE-7	MarorLINE-7	32	215	46	419	37	608	28	545	32	274	32	259	27	709	34	483	14	260	20	251	58	14	163
MarorLINE-8	MarorLINE-8	0	6	0	20	0	15	2	4	0	9	1	3	1	3	1	4	1	3	3	6	1	0	8
MarorLINE-9	MarorLINE-9	25	9	29	16	15	29	18	49	9	20	7	15	19	20	27	28	10	11	36	9	12	19	3
MarorLTRs-1	MarorLTRs-1	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorLTRs-10	MarorLTRs-10	0	0	1	5	0	5	0	0	3	0	3	0	1	1	0	2	0	0	0	1	6	1	0
MarorLTRs-11	MarorLTRs-11	0	0	0	1	0	2	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0
MarorLTRs-2	MarorLTRs-2	2	5	6	2	2	5	6	16	0	2	4	6	5	12	0	4	5	2	6	2	5	4	3
MarorLTRs-3	MarorLTRs-3	0	12	1	2	4	2	0	3	3	5	8	10	3	7	1	11	3	0	1	35	32	0	8
MarorLTRs-4	MarorLTRs-4	0	0	1	0	1	4	0	4	1	0	2	3	1	0	0	10	0	0	0	6	3	0	0
MarorLTRs-5	MarorLTRs-5	3	1	0	0	2	8	0	5	0	2	0	2	4	3	0	4	0	0	0	48	2	1	1
MarorLTRs-6	MarorLTRs-6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorLTRs-7	MarorLTRs-7	36	23	77	57	56	56	210	57	55	46	78	25	51	16	93	68	47	32	131	39	17	61	18
MarorLTRs-8	MarorLTRs-8	0	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0
MarorLTRs-9	MarorLTRs-9	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
MarorLTRU-1	MarorLTRU-1	1571	824	1632	1860	1461	2268	1606	1866	897	1283	895	1276	1639	1800	1609	1651	995	769	1364	921	353	1431	570
MarorLTRU-2	MarorLTRU-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorMULE-1	MarorMULE-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorMULE-2	MarorMULE-2	14	10	16	33	17	37	15	34	10	40	13	47	13	11	10	20	13	18	9	20	8	10	6
MarorMULE-3	MarorMULE-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MarorMULE-4	MarorMULE-4	4	2	2	4	4	4	3	4	1	3	0	4	0	1	1	2	2	0	5	0	0	0	1
MarorMULE-5	MarorMULE-5	6	5	10	25	19	19	11	23	6	16	10	14	12	16	15	12	11	9	36	1	0	11	3
MarorMULE-6	MarorMULE-6	27	36	36	46	39	66	44	79	17	45	55	29	27	39	28	60	25	29	53	29	12	32	19
MarorMULE-7	MarorMULE-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2
