MarorPlavaka-7.t1	MarorPlavaka-7	MarorPlavaka-7
MarorPlavaka-8.t1	MarorPlavaka-8	MarorPlavaka-8
MarorPlavaka-9.t1	MarorPlavaka-9	MarorPlavaka-9
MarorPlavaka-10.t1	MarorPlavaka-10	MarorPlavaka-10
MarorPlavaka-11.t1	MarorPlavaka-11	MarorPlavaka-11
MarorPlavaka-12.t1	MarorPlavaka-12	MarorPlavaka-12
MarorPlavaka-13.t1	MarorPlavaka-13	MarorPlavaka-13
MarorPlavaka-14.t1	MarorPlavaka-14	MarorPlavaka-14
MarorPlavaka-15.t1	MarorPlavaka-15	MarorPlavaka-15
MarorPlavaka-16.t1	MarorPlavaka-16	MarorPlavaka-16
MarorPlavaka-17.t1	MarorPlavaka-17	MarorPlavaka-17
MarorPlavaka-18.t1	MarorPlavaka-18	MarorPlavaka-18
MarorPlavaka-19.t1	MarorPlavaka-19	MarorPlavaka-19
MarorPlavaka-20.t1	MarorPlavaka-20	MarorPlavaka-20
MarorPlavaka-21.t1	MarorPlavaka-21	MarorPlavaka-21
MarorPlavaka-22.t1	MarorPlavaka-22	MarorPlavaka-22
MarorPlavaka-23.t1	MarorPlavaka-23	MarorPlavaka-23
MarorSatellite-1.t1	MarorSatellite-1	MarorSatellite-1
MarorSatellite-2.t1	MarorSatellite-2	MarorSatellite-2
MarorSatellite-3.t1	MarorSatellite-3	MarorSatellite-3
MarorSatellite-4.t1	MarorSatellite-4	MarorSatellite-4
MarorTcMar-1.t1	MarorTcMar-1	MarorTcMar-1
MarorTcMar-2.t1	MarorTcMar-2	MarorTcMar-2
MarorTcMar-3.t1	MarorTcMar-3	MarorTcMar-3
MarorTcMar-4.t1	MarorTcMar-4	MarorTcMar-4
MarorTcMar-5.t1	MarorTcMar-5	MarorTcMar-5
MarorTcMar-6.t1	MarorTcMar-6	MarorTcMar-6
MarorTcMar-7.t1	MarorTcMar-7	MarorTcMar-7
MarorTcMar-8.t1	MarorTcMar-8	MarorTcMar-8
MarorTcMar-9.t1	MarorTcMar-9	MarorTcMar-9
MarorTcMar-10.t1	MarorTcMar-10	MarorTcMar-10
MarorTcMar-11.t1	MarorTcMar-11	MarorTcMar-11
MarorTcMar-12.t1	MarorTcMar-12	MarorTcMar-12
MarorTcMar-13.t1	MarorTcMar-13	MarorTcMar-13
MarorTcMar-14.t1	MarorTcMar-14	MarorTcMar-14
MarorTcMar-15.t1	MarorTcMar-15	MarorTcMar-15
MarorTcMar-16.t1	MarorTcMar-16	MarorTcMar-16
MarorTcMar-17.t1	MarorTcMar-17	MarorTcMar-17
MarorTcMar-18.t1	MarorTcMar-18	MarorTcMar-18
MarorTcMar-19.t1	MarorTcMar-19	MarorTcMar-19
MarorTcMar-20.t1	MarorTcMar-20	MarorTcMar-20
MarorTcMar-21.t1	MarorTcMar-21	MarorTcMar-21
MarorU-1.t1	MarorU-1	MarorU-1
MarorU-2.t1	MarorU-2	MarorU-2
MarorU-3.t1	MarorU-3	MarorU-3
MarorU-4.t1	MarorU-4	MarorU-4
MarorU-5.t1	MarorU-5	MarorU-5
